id;IC;PTR;NRz;DRY;DMCsg;PPA;PA;PRz
BRS-Jari;BRS-Jari;53.8542947861293;14.3916424383475;4.24700563236959;3.85218658633125;30.1728311948318;12.5997861961903;3.91425551052565;0.821263862200415
BRS-PotiBranca;BRS-PotiBranca;49.1459596251409;32.3072379545245;5.56713781729628;9.87343186189397;35.2100147468183;34.1018936817075;2.11141963537533;1.78647597564193
Platina;Platina;48.8053650706919;11.7991904859103;2.60972223335743;4.16552628032159;36.0727218123168;13.2540156614539;2.69816361597463;1.2570827868713
RR0065;RR0065;42.3303757454587;24.9994026936374;4.66347749489526;7.91998528192853;36.1687602053703;30.5725904664641;4.16973511465773;1.00577048043942
BGM-0098;BGM-0098;33.3577157571253;11.7505687909629;4.71550390303237;4.61893407758712;36.2971213888831;26.2407619270525;3.05605947719903;1.16372249502049
BGM-0113-RcxRos;BGM-0113-RcxRos;42.460304960469;15.8020291893361;3.00269713191337;4.75779183513148;32.0607920659871;19.3966371475422;3.06220001641988;0.740868804050045
BGM-0263;BGM-0263;30.7073904728586;9.42098058475157;3.42467988562652;1.99280267510157;24.8450863292244;12.4350901247738;3.19514292552468;1.16372249502049
BGM-0445;BGM-0445;52.5836356299565;9.04224435508867;3.42467988562652;3.79145970843344;33.2227174703249;15.0930566642722;3.34108378586536;1.16372249502049
BGM-0492;BGM-0492;43.5638300551491;28.926251571801;3.42467988562652;9.62665972876585;37.4012493911283;34.3368177498411;3.91863727576712;1.16372249502049
BGM-0532;BGM-0532;37.0299154002949;7.94465814745462;3.42467988562652;2.94123287277496;37.1724674737715;19.6338771039896;2.66482311572649;1.16372249502049
BGM-0656;BGM-0656;28.7890122021275;10.6910066047877;3.42467988562652;3.69239023262176;39.1945680870897;25.5099759305624;3.55872175592116;1.16372249502049
BGM-1184;BGM-1184;49.4450614135284;17.6405139281338;3.42467988562652;4.23524639316427;29.9997854184803;21.1386381484095;3.87883081232205;1.16372249502049
BGM-1357;BGM-1357;38.5914658311599;6.31213454146291;3.42467988562652;1.97067137400251;34.381943672096;14.3507607848914;4.16648792708026;1.16372249502049
BGM-1767;BGM-1767;19.66507717166;4.24715009564183;2.69666916164092;1.85174911707554;35.8269875569373;30.4135694159487;4.5667069998535;0.852649817051372
BGM-1865;BGM-1865;65.2156026402219;22.0446058349446;3.42467988562652;6.4907596024624;32.1170904238487;8.52417814507922;2.10440643433525;1.16372249502049
BGM-2112;BGM-2112;38.1727117223894;19.7291615590449;3.42467988562652;5.67054267347174;32.5060867572823;13.1721007022727;3.38484747562046;1.16372249502049
Manzhitil;Manzhitil;65.2094500057953;15.4273966080326;3.47831250514591;5.40975904067557;34.8511889738479;13.9091998553989;3.32687230481459;0.972506393240481
